CCTV央视频道,#genre#
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8

上海人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8

上海生活,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8

上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8

上海戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8

上海新闻,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8

上海影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8

上虞经济文化,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8

上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8

上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8

深圳蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8

深圳蛇口FHD,http://218.17.99.211:82/hls/d4encs75.m3u8

嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8

数码时代高清,http://yd-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

四川峨眉电影1,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8

四川公共乡村,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8

南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8

宁夏卫视超清,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8

黔西南综合,http://live.qxndt.com/channel2/sd/live.m3u8

青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8

安徽东至影视台,http://223.247.33.124:1935/live/yingshi/playlist.m3u8

安徽东至综合台,http://223.247.33.124:1935/live/zonghe/playlist.m3u8

安徽淮北公共台,http://live.0561rtv.cn/ggpd/hd/live.m3u8

安徽淮北综合台,http://live.0561rtv.cn/xwzh/hd/live.m3u8

安徽郎溪综合台,http://117.70.93.210:1935/live/xinwen/playlist.m3u8

安徽铜陵公共台,http://dstpush1.retalltech.com/app/stream2.m3u8

安徽铜陵综合台,http://dstpush1.retalltech.com/app/stream1.m3u8

巴中公共FHD,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8

巴中综合FHD,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_246.m3u8

半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8

北碚综合频道,http://222.178.181.121:12034/beibei01.m3u8

北京纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8

北京卫视高清,http://183.207.249.7/PLTV/3/224/3221225574/index.m3u8

滨州测试频道,http://stream.bzcm.net/4/sd/live.m3u8

赤峰综合频道,http://vfile.cfrtv.cn/2017/1484/6248/0267/148462480267.ssm/148462480267.m3u8

大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8

大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8

德州图文HD,http://kaixianlive.cbg.cn:10345/1.m3u8

德州新闻HD,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8

迪庆藏语,http://stream01.dqtv123.com:1935/live/diqingzangyu.stream/playlist.m3u8

点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8

东方卫视蓝光1,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8

东南卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8

福建福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8

福建福州影视台,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8

福建福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8

福建厦门第一台,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen1_2/index.m3u8

广东潮州综合,http://dslive.grtn.cn/czzh/sd/live.m3u8

广元公共,http://3g.dzsm.com/streamer/gy04.m3u8

广元影视,http://3g.dzsm.com/streamer/gy02.m3u8

广元综合,http://3g.dzsm.com/streamer/gy03.m3u8

哈尔滨生活,http://39.135.135.4/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225762/index.m3u8

哈尔滨新闻,http://39.135.135.65/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8

哈尔滨新闻综合FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8

哈尔滨影视,http://39.135.135.34/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225760/index.m3u8

哈尔滨娱乐,http://39.135.135.65/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225759/index.m3u8

哈尔滨资讯,http://39.135.135.73/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8

海盐新闻频道,http://haiyan.liveyun.hoge.cn/xwpd/sd/live.m3u8

新疆卫视,http://183.207.249.7/PLTV/3/224/3221225523/index.m3u8

新疆卫视高清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8




儿童成长频道,#genre#

卡酷少儿高清,http://iptv.tvfix.org/hls/brtv10hd.m3u8

湖南教育,http://pull.hnedutv.com/live/edutv.m3u8

浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8

浙江留学世界台,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8

浙江少儿台,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8

福建福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8

萍乡教育频道,http://www.pxitv.com:8099/hls-live/livepkgr/_definst_/pxitvevent/pxtv2stream.m3u8

Animax,http://iptv.tvfix.org/hls/animax.m3u8

迪士尼頻道,http://211.23.114.106:8581/http/61.221.81.94:8088/hls/70/812/ch40.m3u8

東森幼幼台,http://211.23.114.106:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8

龍華卡通,http://211.23.114.106:8528/http/59.120.8.187:8066/hls/210/10013/cstv13.m3u8




纪录片频道,#genre#

VIP解锁,https://636c-cloud1-0gk3486hc4fffd4b-1307030211.tcb.qcloud.la/ScreenRecorderProject2.mp4

求索一,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8

求索二,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8

求索三,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8

求索四,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8

求索生活FHD,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8

求索动物FHD,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8

CIBN 紀錄片,http://211.94.219.178:18080/PLTV/68/224/3221226437/index.m3u8

Discovery,http://iptv.tvfix.org/hls/discovery.m3u8

DiscoveryHD,http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8

动物星球,http://iptv.tvfix.org/hls/animal.m3u8

动物星球HD,http://iptv.tvfix.org/hls/animal2.m3u8

爱自然4K,http://iptv.tvfix.org/hls/lovenature4k.m3u8

爱自然4K中文,http://iptv.tvfix.org/hls/lovenature4k2.m3u8

動物星球,http://211.23.114.106:8512/http/61.221.81.94:8088/hls/70/812/ch37.m3u8

